Reference,Name,Price,URL
GM102578,"Real Fruit Juice - Orange, 200 ml Carton
Real Fruit Juice - Orange, 1 ltr Carton","Rs. 20.00
Rs. 82.00",http://www.bigbasket.com/pd/229910/real-fruit-juice-orange-1-ltr-carton/
GM102575,"Real Fruit Juice - Litchi, 1 ltr Carton
Real Fruit Juice - Litchi, 200 ml Carton","Rs. 82.00
Rs. 20.00",http://www.bigbasket.com/pd/229936/real-fruit-juice-litchi-1-ltr-carton/?nc=as
GM106033,"Red Bull Energy Drink, 250 ml Carton  ( Pack of 4 )",Rs. 389.50,http://www.bigbasket.com/pd/100012281/red-bull-energy-drink-250-ml-carton/
GM102524,"Limca  Soft Drink - Lemon Flavor, 600 ml Bottle
Limca  Soft Drink - Lemon Flavor, 2 ltr Bottle","Rs. 35.00
Rs. 85.00",http://www.bigbasket.com/pd/265906/limca-soft-drink-lemon-flavor-2-ltr-bottle/
GM102532,"Fanta Soft Drink - Orange Flavor, 1.25 ltr Bottle
Fanta Soft Drink - Orange Flavor, 2 ltr Bottle
Fanta Soft Drink - Orange Flavor, 600 ml Bottle","Rs. 60.00
Rs. 85.00
Rs. 35.00",http://www.bigbasket.com/pd/251041/fanta-soft-drink-orange-flavor-2-ltr-bottle/?nc=as
GM102577,"Real Fruit Juice - Mixed Fruit, 200 ml Carton
Real Fruit Juice - Mixed Fruit, 1 ltr Carton","Rs. 20.00
Rs. 82.00",http://www.bigbasket.com/pd/229922/real-fruit-juice-mixed-fruit-1-ltr-carton/?nc=as
GM102574,"Real Fruit Juice - Guava, 1 ltr Carton
Real Fruit Juice - Guava, 200 ml Carton","Rs. 82.00
Rs. 20.00",http://www.bigbasket.com/pd/229930/real-fruit-juice-guava-1-ltr-carton/?nc=as
GM102572,"Real Fruit Juice - Apple, 200 ml Carton
Real Fruit Juice - Apple, 1 ltr Carton","Rs. 20.00
Rs. 82.00",http://www.bigbasket.com/pd/265854/real-fruit-juice-apple-1-ltr-carton/?nc=as
GM102535,"Sprite Soft Drink, 2 ltr Bottle
Sprite Soft Drink, 600 ml Bottle","Rs. 85.00
Rs. 35.00",http://www.bigbasket.com/pd/251040/sprite-soft-drink-2-ltr-bottle/
GM101639,"Bournvita 5 Star Magic Pro-Health Chocolate Drink, 500 gm Pouch",Rs. 190.00,http://www.bigbasket.com/pd/206981/bournvita-5-star-magic-pro-health-chocolate-drink-500-gm-pouch/?nc=as
GM102416,"Pediasure Nutritional Powder - Premium Chocolate, 1 kg Jar
Pediasure Nutritional Powder - Premium Chocolate, 200 gm Jar
Pediasure Nutritional Powder - Premium Chocolate, 400 gm Jar","Rs. 1121.00
Rs. 280.25
Rs. 498.75",http://www.bigbasket.com/pd/275260/pediasure-nutritional-powder-premium-chocolate-1-kg-jar/
GM102108,"Nescafe  Coffee - Classic, 100 gm Jar
Nescafe  Coffee - Classic, 25 gm Jar","Rs. 237.50
Rs. 70.00",http://www.bigbasket.com/pd/231187/nescafe-coffee-classic-100-gm-jar/?nc=as
GM102530,"Coca Cola Soft Drink, 600 ml Bottle
Coca Cola Soft Drink, 1.25 ltr Bottle
Coca Cola Soft Drink, 2 ltr Bottle","Rs. 35.00
Rs. 60.00
Rs. 85.00",http://www.bigbasket.com/pd/251037/coca-cola-soft-drink-2-ltr-bottle/
GM102417,"Pediasure Nutritional Powder - Vanilla Delight, 1 kg Jar
Pediasure Nutritional Powder - Vanilla Delight, 200 gm Jar
Pediasure Nutritional Powder - Vanilla Delight, 400 gm Jar","Rs. 1092.50
Rs. 270.75
Rs. 489.25",http://www.bigbasket.com/pd/281374/pediasure-nutritional-powder-vanilla-delight-200-gm-jar/?nc=as
GM102519,"Tea City Utsav Tea : Buy 1 Get 1 Free, 1 kg",Rs. 398.00,http://www.bigbasket.com/pd/40030029/tea-city-utsav-tea-1-kg/
GM101464,"Parle Hide & Seek Chocolate, 120 gm Pouch
Parle Hide & Seek Chocolate, 33 gm Pouch","Rs. 28.50
Rs. 9.50",http://www.bigbasket.com/pd/302121/parle-hide-seek-chocolate-120-gm-pouch/?nc=as
GM102515,"Tata Tea Gold Tea, 250 gm Pouch
Tata Tea Gold Tea, 500 gm Pouch
Tata Tea Gold Tea, 100 gm Pouch
Tata Tea Gold Tea, 1 kg Pouch","Rs. 102.60
Rs. 205.20
Rs. 41.00
Rs. 382.20",http://www.bigbasket.com/pd/240065/tata-tea-gold-tea-1-kg-pouch/?nc=as
GM101507,"Sunfeast Dark Fantasy - Choco Fills, 75 gm Pouch",Rs. 27.00,http://www.bigbasket.com/pd/286082/sunfeast-dark-fantasy-choco-fills-75-gm-pouch/
GM101462,"Parle Hide & Seek - Bourbon, 75 gm Pouch
Parle Hide & Seek - Bourbon, 150 gm Pouch","Rs. 9.50
Rs. 23.75",http://www.bigbasket.com/pd/40005873/parle-hide-seek-bourbon-150-gm-pouch/
GM102511,"Red Label Tea, 1 kg Pouch",Rs. 332.50,http://www.bigbasket.com/pd/102871/red-label-tea-1-kg-pouch/?nc=as
GM101432,"Mc-Vities Digestive Biscuits, 250 gm Carton
Mcvities Digestive Biscuits, 500 gm Carton","Rs. 106.20
Rs. 90.00",http://www.bigbasket.com/pd/278319/mc-vities-digestive-biscuits-250-gm-carton/?nc=as
GM101444,"Parle Biscuits - Gluco Gold, 125 gm
Parle Biscuits - Gluco Gold, 250 gm Pouch","Rs. 10.00
Rs. 19.00",http://www.bigbasket.com/pd/20004285/parle-biscuits-gluco-gold-125-gm/?nc=as
GM101445,"Parle Gluco Biscuits - Parle-G, 140 gm Pouch
Parle Gluco Biscuits - Parle-G, 800 gm Pouch
Parle Gluco Biscuits - Parle-G, 70 gm Pouch
Parle Glucos Biscuits - Parle-G, 250 gm","Rs. 9.50
Rs. 57.00
Rs. 5.00
Rs. 20.00",http://www.bigbasket.com/pd/102102/parle-gluco-biscuits-parle-g-800-gm-pouch/?nc=as
GM101349,"Britannia Biscuits - Marie Gold, 89 gm Pouch
Britannia Biscuits - Marie Gold, 250 gm Pouch","Rs. 9.50
Rs. 28.50",http://www.bigbasket.com/pd/220244/britannia-biscuits-marie-gold-250-gm-pouch/
GM108905,"Parle Bake Smith Marie Biscuits, 300 gm Pouch
Parle Bake Smith Marie Biscuits, 90 gm Pouch","Rs. 27.00
Rs. 10.00",http://www.bigbasket.com/pd/216875/parle-bake-smith-marie-biscuits-300-gm-pouch/
GM102491,"Bagrrys Crunchy Muesli - Almond and Raisins, 1 kg Jar",Rs. 499.00,http://www.bigbasket.com/pd/221404/bagrrys-crunchy-muesli-almond-and-raisins-1-kg-jar/
GM101593,"Kelloggs Chocos, 1.2 kg
Kelloggs Chocos, 375 gm Carton
Kelloggs Chocos, 700 gm Carton
Kelloggs Chocos, 125 gm Carton
Kelloggs Chocos, 250 gm Carton","Rs. 400.00
Rs. 147.25
Rs. 266.00
Rs. 52.25
Rs. 103.55",http://www.bigbasket.com/pd/30008601/kelloggs-chocos-12-kg/?nc=as
GM102492,"Bagrrys Fruit N Fibre Muesli - Apple, 1 kg Jar
Bagrrys Fruit N Fibre Muesli - Apple, 400 gm Carton","Rs. 499.00
Rs. 210.00",http://www.bigbasket.com/pd/159706/bagrrys-fruit-n-fibre-muesli-apple-400-gm-carton/?nc=as
GM102503,"Quaker Oats, 1.5 Kg Pouch
Quaker Oats, 200 gm Pouch
Quaker Oats, 400 gm Pouch
Quaker Oats, 600 gm Pouch
Quaker Oats, 1 kg Pouch","Rs. 235.00
Rs. 41.00
Rs. 78.00
Rs. 99.00
Rs. 190.00",http://www.bigbasket.com/pd/208345/quaker-oats-1-kg-pouch/
GM102494,"Bagrrys Fruit N Fibre Muesli - Strawberry, 1 kg Jar
Bagrrys Fruit N Fibre Muesli - Strawberry, 400 gm Carton","Rs. 499.00
Rs. 217.00",http://www.bigbasket.com/pd/159713/bagrrys-fruit-n-fibre-muesli-strawberry-400-gm-carton/
GM102493,"Bagrrys Fruit N Fibre Muesli - Mixed Fruit, 1 kg Jar",Rs. 499.00,http://www.bigbasket.com/pd/221410/bagrrys-fruit-n-fibre-muesli-mixed-fruit-1-kg-jar/?nc=as
GM102090,"Dabur Honey, 100 gm Bottle
Dabur Honey, 400 gm Bottle
Dabur Honey, 250 gm Jar
Dabur Honey, 1 kg Jar
Dabur Honey, 500 gm Jar","Rs. 56.05
Rs. 131.25
Rs. 115.90
Rs. 361.00
Rs. 189.05",http://www.bigbasket.com/pd/240125/dabur-honey-400-gm-bottle/?nc=as
GM102079,"Kissan Mixed Fruit Jam, 700 gm
Kissan Mixed Fruit Jam, 200 gm
Kissan Mixed Fruit Jam, 500 gm","Rs. 166.25
Rs. 57.00
Rs. 109.25",http://www.bigbasket.com/pd/266543/kissan-mixed-fruit-jam-200-gm/?nc=as
GM102456,"Mrs Bector'S Cremica Tomato Ketchup - Squeasy, 1 kg Pouch",Rs. 75.00,http://www.bigbasket.com/pd/40016238/mrs-bectors-cremica-tomato-ketchup-squeasy-1-kg-pouch/?nc=as
GM102480,"Kissan Fresh Tomato Ketchup, 1 kg Bottle
Kissan Fresh Tomato Ketchup, 200 gm
Kissan Fresh Tomato Ketchup, 500 gm Bottle","Rs. 137.75
Rs. 48.00
Rs. 92.15",http://www.bigbasket.com/pd/152450/kissan-fresh-tomato-ketchup-1-kg-bottle/
GM102438,"Mothers Recipe Pickle - Mango, 1 kg Jar",Rs. 160.00,http://www.bigbasket.com/pd/100004020/motherss-recipe-pickle-mango-1-kg-jar/
GM102454,"Cremica Tombo - Snack Dressing, 1.2 kg Bottle",Rs. 105.00,http://www.bigbasket.com/pd/284196/cremica-tombo-snack-dressing-12-kg-bottle/?nc=as
GM102420,"Bikano Namkeen - Aloo Bhujia, 200 gm Pouch
Bikano Namkeen - Aloo Bhujia, 400 gm Pouch
Bikano Namkeen - Aloo Bhujia, 1 kg
Bikano Namkeen - Aloo Bhujia, 90 gm","Rs. 45.00
Rs. 89.00
Rs. 222.00
Rs. 20.00",http://www.bigbasket.com/pd/40078504/bikano-namkeen-aloo-bhujia-1-kg/?nc=as
GM102419,"Bikano Namkeen - Aloo Bhujia, 200 gm Pouch
Bikano Namkeen - Aloo Bhujia, 400 gm Pouch
Bikano Namkeen - Aloo Bhujia, 1 kg
Bikano Namkeen - Aloo Bhujia, 90 gm","Rs. 45.00
Rs. 89.00
Rs. 222.00
Rs. 20.00",http://www.bigbasket.com/pd/40078504/bikano-namkeen-aloo-bhujia-1-kg/
GM108773,"Bikano Namkeen - Navrtan Mixture, 200 gm Pouch
Bikano Namkeen - Navrtan Mixture, 400 gm Pouch
Bikano Namkeen - Navratan Mix, 1 kg
Bikano Namkeen - Navratan Mix, 90 gm","Rs. 45.00
Rs. 89.00
Rs. 222.00
Rs. 20.00",http://www.bigbasket.com/pd/40078520/bikano-namkeen-navratan-mix-1-kg/?nc=as
GM106297,"Bikano Namkeen - Tasty Peanuts, 1 kg
Bikano Namkeen - Tasty, 400 gm Pouch
Bikano Namkeen - Tasty, 90 gm","Rs. 222.00
Rs. 89.00
Rs. 20.00",http://www.bigbasket.com/pd/40033789/bikano-namkeen-tasty-peanuts-1-kg/?nc=as
GM101854,"Lays Potato Chips - Classic Salted, 95 gm Pouch
Lays Potato Chips - Classic Salted, 52 gm Pouch
Lays Potato Chips - Classic Salted, 15 gm Pouch","Rs. 35.00
Rs. 20.00
Rs. 5.00",http://www.bigbasket.com/pd/102741/lays-potato-chips-classic-salted-52-gm-pouch/
GM106298,"Bikano Namkeen - Khatta Meetha, 200 gm Pouch
Bikano Namkeen - Khatta Meetha, 400 gm Pouch
Bikano Namkeen - Khatta Meetha, 90 gm
Bikano Namkeen - Khatta Meetha, 1 kg","Rs. 45.00
Rs. 89.00
Rs. 20.00
Rs. 222.00",http://www.bigbasket.com/pd/40078518/bikano-namkeen-khatta-meetha-1-kg/?nc=as
GM101839,"Kurkure Namkeen - Masala Munch, 155 gm Pouch
Kurkure Namkeen - Masala Munch, 50 gm
Kurkure Namkeen - Masala Munch, 125 gm","Rs. 30.00
Rs. 10.00
Rs. 20.00",http://www.bigbasket.com/pd/294305/kurkure-namkeen-masala-munch-50-gm/?nc=as
GM101858,"Lays Potato Chips - Indias Magic Masala, 95 gm Pouch
Lays Potato Chips - Indias Magic Masala, Party Pack, 177 gm Pouch
Lays Potato Chips - Indias Magic Masala, 30 gm Pouch
Lays Potato Chips - Indias Magic Masala, 52 gm Pouch","Rs. 35.00
Rs. 65.00
Rs. 10.00
Rs. 20.00",http://www.bigbasket.com/pd/100022654/lays-potato-chips-indias-magic-masala-30-gm-pouch/?nc=as
GM102022,"Maggi Noodles - Masala, 560 gm Pouch
Maggi Noodles - Masala, 70 gm Pouch
Maggi Noodles - Masala, 280 gm Pouch
Maggi Noodles - Masala, 420 gm Pouch","Rs. 84.55
Rs. 12.00
Rs. 42.75
Rs. 67.00",http://www.bigbasket.com/pd/266162/maggi-noodles-masala-280-gm-pouch/?nc=as
GM101278,"MTR Vermicelli, 400 gm Pouch
MTR Vermicelli, 900 gm Pouch","Rs. 34.20
Rs. 71.25",http://www.bigbasket.com/pd/265947/mtr-vermicelli-900-gm-pouch/
GM101849,"Lays Potato Chips - American Style Cream & Onion Flavour, 177 gm Pouch
Lays Potato Chips - American Style Cream & Onion Flavour, 95 gm Pouch
Lays Potato Chips - American Style Cream & Onion Flavour, 52 gm Pouch
Lays Potato Chips - American Style Cream & Onion Flavour, 25 gm Pouch","Rs. 65.00
Rs. 35.00
Rs. 20.00
Rs. 10.00",http://www.bigbasket.com/pd/102745/lays-potato-chips-american-style-cream-onion-flavour-52-gm-pouch/?nc=as
GM102234,"Bambino Vermicelli, 150 gm Pouch
Bambino Vermicelli, 400 gm Pouch
Bambino Vermicelli, 900 gm Pouch","Rs. 20.00
Rs. 36.00
Rs. 66.50",http://www.bigbasket.com/pd/266423/bambino-vermicelli-150-gm-pouch/?nc=as
GM100978,"Amul Butter - Pasteurized, 100 gm Carton
Amul Butter - Pasteurized, 500 gm Carton","Rs. 41.80
Rs. 204.25",http://www.bigbasket.com/pd/104860/amul-butter-pasteurized-100-gm-carton/?nc=as
GM100978,"Amul Butter - Pasteurized, 100 gm Carton
Amul Butter - Pasteurized, 500 gm Carton","Rs. 41.80
Rs. 204.25",http://www.bigbasket.com/pd/104860/amul-butter-pasteurized-100-gm-carton/?nc=as
GM101865,"Lays Potato Chips - Spanish Tomato Tango, 52 gm Pouch
Lays Potato Chips - Spanish Tomato Tango, 95 gm Pouch","Rs. 20.00
Rs. 35.00",http://www.bigbasket.com/pd/102753/lays-potato-chips-spanish-tomato-tango-52-gm-pouch/
GM100242,"Fortune  Refined Oil - Soya Bean, 1 ltr Pouch
Fortune  Refined Oil - Soya Bean, 5 ltr Can","Rs. 96.00
Rs. 530.00",http://www.bigbasket.com/pd/272765/fortune-refined-oil-soya-bean-1-ltr-pouch/
GM101056,"mother dairy Misti Doi, 85 gm Cup",Rs. 14.25,http://www.bigbasket.com/pd/40004522/mother-dairy-misti-doi-85-gm-cup/?nc=as
